date,country,region,product,revenue,cost,shipping_cost,material_cost
2025-01-05,Germany,Europe,Product A,50000,33000,3500,11000
2025-01-12,France,Europe,Product B,46000,30000,3200,10000
2025-01-20,Italy,Europe,Product C,42000,28000,3000,9500
2025-01-28,Spain,Europe,Product A,44000,29000,3100,9800
2025-02-05,Germany,Europe,Product B,54000,35000,3600,11500
2025-02-14,France,Europe,Product C,48000,31500,3300,10500
2025-02-22,Italy,Europe,Product A,45000,29500,3100,9900
2025-02-27,Spain,Europe,Product B,47000,30500,3200,10200
2025-03-06,Germany,Europe,Product C,56000,36500,3700,12000
2025-03-15,France,Europe,Product A,51000,33500,3500,11200
2025-03-23,Italy,Europe,Product B,46000,30000,3200,10000
2025-03-30,Spain,Europe,Product C,49000,32000,3400,10800
2025-04-05,Germany,Europe,Product A,52000,34500,3600,11500
2025-04-13,France,Europe,Product B,48000,32000,3300,10600
2025-04-21,Italy,Europe,Product C,44000,30000,3100,10000
2025-04-29,Spain,Europe,Product A,46000,31000,3200,10300
2025-05-07,Germany,Europe,Product B,55000,36500,3700,12200
2025-05-15,France,Europe,Product C,50000,33500,3500,11200
2025-05-23,Italy,Europe,Product A,47000,31500,3300,10500
2025-05-30,Spain,Europe,Product B,49000,32500,3400,10800
2025-06-06,Germany,Europe,Product C,57000,38000,3800,12500
2025-06-14,France,Europe,Product A,52000,35000,3600,11800
2025-06-22,Italy,Europe,Product B,48000,32500,3400,11000
2025-06-29,Spain,Europe,Product C,50000,34000,3500,11200
2025-07-05,Germany,Europe,Product A,53000,41000,6000,15000
2025-07-13,France,Europe,Product B,49000,38500,5600,14500
2025-07-21,Italy,Europe,Product C,45000,35500,5200,13500
2025-07-29,Spain,Europe,Product A,47000,37000,5400,14000
2025-08-06,Germany,Europe,Product B,56000,44000,6200,16000
2025-08-14,France,Europe,Product C,51000,40000,5800,15000
2025-08-22,Italy,Europe,Product A,46000,36500,5400,13800
2025-08-30,Spain,Europe,Product B,48000,38000,5600,14500
2025-09-07,Germany,Europe,Product C,58000,45500,6400,16500
2025-09-15,France,Europe,Product A,53000,41500,6000,15500
2025-09-23,Italy,Europe,Product B,49000,39000,5700,14800
2025-09-30,Spain,Europe,Product C,51000,40500,5800,15000
2025-10-06,Germany,Europe,Product A,55000,37000,3800,12500
2025-10-14,France,Europe,Product B,50000,33500,3500,11200
2025-10-22,Italy,Europe,Product C,47000,31500,3300,10500
2025-10-30,Spain,Europe,Product A,49000,32500,3400,10800
2025-11-07,Germany,Europe,Product B,57000,38500,3900,13000
2025-11-15,France,Europe,Product C,52000,35000,3700,11800
2025-11-23,Italy,Europe,Product A,48000,32000,3500,10800
2025-11-30,Spain,Europe,Product B,50000,33500,3600,11200
2025-12-06,Germany,Europe,Product C,59000,39500,4000,13500
2025-12-14,France,Europe,Product A,54000,36000,3800,12000
2025-12-22,Italy,Europe,Product B,50000,33500,3600,11200
2025-12-29,Spain,Europe,Product C,52000,35000,3700,11600
2025-01-10,India,Asia,Product A,30000,19500,1800,6500
2025-02-18,Japan,Asia,Product B,45000,30000,2500,9000
2025-03-25,India,Asia,Product C,34000,22000,2000,7200
2025-04-10,Japan,Asia,Product A,48000,31500,2700,9500
2025-05-18,India,Asia,Product B,36000,23500,2100,7600
2025-06-25,Japan,Asia,Product C,50000,33000,2800,9800
2025-07-10,India,Asia,Product A,37000,24500,2200,7800
2025-08-18,Japan,Asia,Product B,52000,34500,2900,10200
2025-09-25,India,Asia,Product C,38000,25000,2300,8000
2025-10-10,Japan,Asia,Product A,54000,35500,3000,10500
2025-11-18,India,Asia,Product B,40000,26500,2400,8500
2025-12-25,Japan,Asia,Product C,56000,37000,3100,11000
2025-01-15,USA,North America,Product B,60000,40000,4500,14000
2025-03-18,Canada,North America,Product C,48000,32000,3500,11000
2025-05-25,USA,North America,Product A,65000,43000,4700,15000
2025-07-18,Canada,North America,Product B,50000,34000,3700,11500
2025-09-25,USA,North America,Product C,68000,45500,4900,15800
2025-11-25,Canada,North America,Product A,53000,35500,3800,12000
